Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
10/30/2000,88.62024225,90.32063064931471,88.44020113,89.9605484,10154100,30,0,44,10,2000
10/31/2000,90.27061158027111,91.98100211547624,89.66047226654297,91.51089477539062,7752400,31,1,44,10,2000
11/1/2000,91.06079657157802,91.70094276891777,90.40064580557141,91.20082855,6753600,1,2,44,11,2000
11/2/2000,91.64094214,92.12105186,91.23084842536113,91.35087585449219,11395100,2,3,44,11,2000
11/3/2000,91.84096410713354,92.02100520427234,91.14080428492713,91.40086364746094,5187100,3,4,44,11,2000
11/6/2000,91.64090908011569,92.37107568,91.56089082289664,92.04100036621094,4042500,6,0,45,11,2000
11/7/2000,91.63089949151744,92.18102496603261,91.26081508138905,92.02098846435547,5231300,7,1,45,11,2000
11/8/2000,92.22108007272439,92.22108007272439,89.98056793,89.98056793,6123300,8,2,45,11,2000
11/9/2000,89.62047547108625,90.40065371737472,87.86007327433278,89.64048004,10635300,9,3,45,11,2000
11/10/2000,88.98023806726398,89.28030631614189,87.39987862317363,87.45989227294922,8569500,10,4,45,11,2000
11/13/2000,86.81984007550913,87.69003893340883,85.14945835977065,86.77983093261719,17285300,13,0,46,11,2000
11/14/2000,88.00009118942988,89.38040632743184,87.70002268116858,89.06033325195312,7668900,14,1,46,11,2000
11/15/2000,89.02032760777283,89.69048063583135,88.18013575169947,89.34040069580078,8837700,15,2,46,11,2000
11/16/2000,88.7102315,89.54042083,87.90004672257872,87.94005584716797,6684100,16,3,46,11,2000
11/17/2000,87.90007656788812,88.98032329858133,86.89984811354256,87.46997833251953,6551100,17,4,46,11,2000
11/20/2000,86.89983604,87.29992736674794,85.97962599044057,86.21968078613281,5458500,20,0,47,11,2000
11/21/2000,86.33970174322718,87.17989347,85.46950317375767,86.65977478027344,7684300,21,1,47,11,2000
11/22/2000,85.99963939134938,86.33971705351568,84.57931503759599,84.58931732177734,5736900,22,2,47,11,2000
11/24/2000,85.53954676,86.39974332170718,85.53954676,86.31972504,3411600,24,4,47,11,2000
11/27/2000,87.35992838962308,87.49996033345806,86.61975954363818,87.07986450195312,5992000,27,0,48,11,2000
11/28/2000,86.49973108,87.43994555266006,85.54951433446598,85.57952117919922,5336100,28,1,48,11,2000
11/29/2000,86.01963159351216,86.99985530236846,85.30946952,85.41949462890625,6914100,29,2,48,11,2000
11/30/2000,84.81936088217762,85.459507,83.05895905254751,84.67932891845703,11201600,30,3,48,11,2000
12/1/2000,85.25946193,85.81958979023064,83.85914228453305,84.63932037353516,7587200,1,4,48,12,2000
12/4/2000,84.41924458788239,85.69953644893084,84.17918986,85.35945892333984,6996600,4,0,49,12,2000
12/5/2000,86.33974004424779,88.50023400272295,86.03967143890402,88.16015625,8883400,5,1,49,12,2000
12/6/2000,88.20012493346866,88.56020709,86.43972325641144,86.74979400634766,12888000,6,2,49,12,2000
12/7/2000,86.33967947452626,86.97982538351256,85.55950164794922,85.55950164794922,6529100,7,3,49,12,2000
12/8/2000,87.74003474006625,89.28038646714904,85.69956881587866,85.75958251953125,10276300,8,4,49,12,2000
12/11/2000,87.94008216,89.34040194099502,87.51998622746378,88.74026489257812,6405600,11,0,50,12,2000
12/12/2000,88.46018364949276,88.86027493691698,87.94006498,88.36016082763672,5022900,12,1,50,12,2000
12/13/2000,89.14033349110613,89.24035630696241,87.07986348446701,87.14987946,6070500,13,2,50,12,2000
12/14/2000,86.97984926657908,87.37994056955323,85.79957992280535,86.03963470458984,7678400,14,3,50,12,2000
12/15/2000,85.48087041550393,85.48087041550393,83.83546399,84.09632110595703,9065300,15,4,50,12,2000
12/18/2000,84.79859393294738,85.70156050345912,84.60796765695045,85.21997833251953,7235400,18,0,51,12,2000
12/19/2000,85.05941973992114,86.66469305419189,83.48424530029297,83.48424530029297,9616600,19,1,51,12,2000
12/20/2000,82.59137899,82.79203831512149,80.96603844,81.06636810302734,9994300,20,2,51,12,2000
12/21/2000,80.90580817028484,82.74184027533967,80.60481930060372,81.62818145751953,14331500,21,3,51,12,2000
12/22/2000,82.83213794,84.18658786764577,82.73180831326505,84.07622528076172,10182900,22,4,51,12,2000
12/26/2000,84.01605284419504,84.97921752929688,83.65486608728186,84.97921752929688,4665300,26,1,52,12,2000
12/27/2000,84.59795328489894,85.87213972550404,84.27689843372285,85.60124969482422,4854100,27,2,52,12,2000
12/28/2000,85.28016409770326,85.96240541048489,85.13970265,85.86207580566406,8358700,28,3,52,12,2000
12/29/2000,86.08283611,86.22329761710492,84.23677062988281,84.23677062988281,8774600,29,4,52,12,2000
1/2/2001,84.75844719455058,84.85877679586989,81.90908651708226,82.71172332763672,8737500,2,1,1,1,2001
1/3/2001,82.39068383464108,87.32690113208912,81.96929943120038,86.68479156,19431600,3,2,1,1,2001
1/4/2001,86.64467325832072,86.98579401918025,85.40058577753891,85.75173950195312,9219000,4,3,1,1,2001
1/5/2001,85.70156938048106,85.80189900981901,82.95253754,82.95253754,12911400,5,4,1,1,2001
1/8/2001,83.39399861350863,83.59465789794922,81.98938362242451,83.59465789794922,6625300,8,0,2,1,2001
1/9/2001,84.14647782253444,84.43743380880528,83.10304945797697,83.37393951416016,5702400,9,1,2,1,2001
1/10/2001,82.83213738303424,84.83872985839844,82.71174183,84.83872985839844,8746100,10,2,2,1,2001
1/11/2001,84.17654433,85.71158739,84.17654433,84.91898345947266,7245100,11,3,2,1,2001
1/12/2001,85.19991898536682,85.86209452152252,84.29695234515451,84.75846862792969,7244000,12,4,2,1,2001
1/16/2001,84.75846721727241,85.52097237,84.44744537970904,85.30024719238281,8542200,16,1,3,1,2001
1/17/2001,86.58448506,86.7149136,85.16983704588729,85.69155121,7851400,17,2,3,1,2001
1/18/2001,85.68154495773474,87.13632528781338,85.36048998833809,86.54438018798828,8107000,18,3,3,1,2001
1/19/2001,87.44731640579457,87.44731640579457,85.96243769674712,86.05273438,7782500,19,4,3,1,2001
1/22/2001,86.20322641421723,87.18645688309448,85.76177599961929,86.6246109,7050900,22,0,4,1,2001
1/23/2001,86.34369723250526,87.74831233970382,86.14303793,87.30686188,8463100,23,1,4,1,2001
1/24/2001,87.48744716347083,88.16968872391992,87.2265901,87.56771087646484,6199900,24,2,4,1,2001
1/25/2001,87.48740815141407,88.12951756903914,87.10615568,87.34694672,10818300,25,3,4,1,2001
1/26/2001,86.78511919619956,87.40716283,86.33363591714419,87.24663543701172,7136800,26,4,4,1,2001
1/29/2001,87.00584899742165,87.90479849967133,86.92237161585034,87.71217346191406,6705900,29,0,5,1,2001
1/30/2001,87.51959259438846,88.55980763,87.19211023263304,88.48275756835938,7069100,30,1,5,1,2001
1/31/2001,88.22584462687408,89.06058896714862,87.71216484622553,87.98184967041016,9706900,31,2,5,1,2001
2/1/2001,88.03324257598132,88.57902993477019,87.48744542,88.566185,8239100,1,3,5,2,2001
2/2/2001,88.22586040692376,88.60471253996204,86.52427378409924,86.55638122558594,8276600,2,4,5,2,2001
2/5/2001,86.55639526214694,87.28839997679913,86.52428781545348,87.19207763671875,4352900,5,0,6,2,2001
2/6/2001,86.87747704414443,87.77642704311255,86.82610707308623,86.93526458740234,7106700,6,1,6,2,2001
2/7/2001,86.50500316514331,86.94163297539967,85.83720371699116,86.48574066,5748700,7,2,6,2,2001
2/8/2001,86.55641851443369,86.94167858479913,85.46483361833533,85.47766876220703,5943300,8,3,6,2,2001
2/9/2001,85.62529986198147,85.62529986198147,84.28328365283487,84.65570831298828,9913000,9,4,6,2,2001
2/12/2001,84.56583369910973,85.72163295696896,84.56583369910973,85.62532043457031,5804400,12,0,7,2,2001
2/13/2001,85.85006988688512,86.15186224713406,84.75848529342713,84.92543029785156,6587600,13,1,7,2,2001
2/14/2001,85.17583174,85.17583174,83.89803994938202,84.79698944091797,8400100,14,2,7,2,2001
2/15/2001,85.29784926726718,85.73448895337488,84.75206190690301,85.61890411376953,5929800,15,3,7,2,2001
2/16/2001,84.11638706260572,84.30259460078821,83.02480231983024,83.73111724853516,6434900,16,4,7,2,2001
2/20/2001,84.14203133907424,84.20624621336637,82.25423748734462,82.44044494628906,5760000,20,1,8,2,2001
2/21/2001,82.12582873900686,82.72940850465065,80.58476453309436,80.66181945800781,10910800,21,2,8,2,2001
2/22/2001,81.13055327533579,81.25255567645263,78.99232697,80.78381348,21281600,22,3,8,2,2001
2/23/2001,80.31509204618695,80.61046195560287,78.20897276241504,80.23803711,20173000,23,4,8,2,2001
2/26/2001,80.77742045874672,81.94606018066406,79.94267570070177,81.94606018066406,11503700,26,0,9,2,2001
2/27/2001,81.41953733644536,82.08732732187131,80.59121498,81.18837738,11415000,27,1,9,2,2001
2/28/2001,81.38739406,81.44518157,79.15285043238735,79.58948516845703,14825800,28,2,9,2,2001
3/1/2001,79.65370146893667,80.00685883,78.17684736,80.00685883,14672000,1,3,9,3,2001
